                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2791,                 11.547,                 4.3333,                 4.3306,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                 0.0982,                 0.0002,                 0.0002
                      1,                 3.3845,                 10.354,                 4.2476,                 4.2957,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.095499,             0.00049901,             0.00049901
                      2,                 3.2729,                 12.576,                 4.3427,                 4.3588,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.092797,             0.00079683,             0.00079683
                      3,                 3.3538,                 9.8583,                 4.2816,                  4.313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.090093,              0.0010935,              0.0010935
                      4,                 3.4049,                  9.389,                 4.3111,                 4.3167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.087389,              0.0013889,              0.0013889
                      5,                  3.383,                 7.1418,                 4.2336,                 4.2858,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.084683,              0.0016832,              0.0016832
                      6,                 3.3772,                 6.8347,                 4.3201,                 4.2429,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.081976,              0.0019762,              0.0019762
                      7,                 3.3899,                 6.4504,                 4.2171,                 4.2323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.079268,              0.0022681,              0.0022681
                      8,                 3.4056,                 5.7352,                 4.2721,                 4.1996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.076559,              0.0025588,              0.0025588
                      9,                 3.2869,                 5.6241,                 4.2506,                  4.193,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.073848,              0.0028483,              0.0028483
                     10,                 3.3234,                 5.5416,                  4.201,                 4.1948,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.071137,              0.0031366,              0.0031366
                     11,                 3.3458,                 5.3096,                 4.1378,                  4.166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.068424,              0.0034238,              0.0034238
                     12,                 3.3532,                 5.2272,                 4.0944,                 4.1507,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.06571,              0.0037097,              0.0037097
                     13,                 3.3328,                 5.2006,                 4.0738,                 4.1339,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.062994,              0.0039945,              0.0039945
                     14,                 3.3108,                 5.2336,                 3.9614,                 4.1182,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.060278,               0.004278,               0.004278
                     15,                 3.3137,                 5.2341,                 3.7481,                 4.0826,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.05756,              0.0045604,              0.0045604
                     16,                 3.3236,                 5.1488,                 3.6286,                 4.0882,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.054842,              0.0048416,              0.0048416
                     17,                 3.3905,                 5.1595,                 3.4679,                 4.0377,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.052122,              0.0051216,              0.0051216
                     18,                 3.2887,                 5.0999,                 3.3992,                 4.0157,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                 0.0494,              0.0054004,              0.0054004
                     19,                 3.1208,                 5.1394,                 3.3406,                 3.9657,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.046678,               0.005678,               0.005678
                     20,                 3.1058,                 5.0875,                  3.223,                 3.9524,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.043954,              0.0059545,              0.0059545
                     21,                 3.1062,                 5.0173,                  3.072,                 3.9253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.04123,              0.0062297,              0.0062297
                     22,                 3.0751,                 4.9703,                 2.9959,                 3.8928,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.038504,              0.0065038,              0.0065038
                     23,                 3.0475,                 4.9116,                 2.9754,                 3.8631,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.035777,              0.0067767,              0.0067767
                     24,                 2.9999,                 4.8748,                 2.8845,                 3.8022,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.033048,              0.0070484,              0.0070484
                     25,                 3.0324,                 4.9366,                 2.7826,                 3.7561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.030319,              0.0073188,              0.0073188
                     26,                  2.886,                 4.9495,                 2.7638,                  3.734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.027588,              0.0075882,              0.0075882
                     27,                 2.9378,                 4.8338,                 2.7912,                 3.6835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.024856,              0.0078563,              0.0078563
                     28,                 2.9295,                 4.8623,                 2.6577,                 3.6483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.022123,              0.0081232,              0.0081232
                     29,                 2.8741,                  4.777,                 2.6274,                 3.5839,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.019389,               0.008389,               0.008389
                     30,                 2.8485,                 4.7868,                  2.642,                 3.5962,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.016654,              0.0086535,              0.0086535
                     31,                 2.7438,                  4.537,                 2.5977,                 3.5371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.013917,              0.0089169,              0.0089169
                     32,                   2.64,                 4.6413,                 2.5486,                 3.5084,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.011179,              0.0091791,              0.0091791
                     33,                  2.692,                 4.6373,                 2.4792,                 3.4514,                0.29485,                0.02439,                0.02213,                0.00764,                0.30119,                0.02805,                0.01959,                0.00293,                      0,                      0,                    inf,                      0,              0.0093466,              0.0093466,              0.0093466
                     34,                 2.6833,                 4.6005,                 2.6119,                 3.4981,                0.29726,                0.01585,                0.02038,                 0.0079,                0.35001,                0.01463,                0.01391,                0.00191,                      0,                      0,                    inf,                      0,              0.0093466,              0.0093466,              0.0093466
                     35,                  2.748,                 4.6664,                 2.6486,                 3.5269,                0.43353,                0.02439,                0.04874,                0.02253,                0.43353,                0.02439,                0.02975,                0.01271,                      0,                      0,                    inf,                      0,              0.0093268,              0.0093268,              0.0093268
                     36,                 2.4747,                 4.5566,                 2.4083,                 3.3411,                0.02109,                 0.0373,                0.02749,                 0.0128,                0.40932,                 0.0122,                0.01701,                0.00705,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     37,                 2.6084,                 4.6029,                 2.5345,                 3.3757,                0.57072,                0.03659,                0.05557,                0.02906,                0.58649,                0.03659,                0.03136,                0.01182,                      0,                      0,                    inf,                      0,              0.0092872,              0.0092872,              0.0092872
